Orgs that came for 1 yrs :
sugar_labs : 1 (yrs : 10 )
sugarlabs : 1 (yrs : 9 )
sugarlabs2013 : 1 (yrs : 13 )
sunlight : 1 (yrs : 9 )
supertuxkart : 1 (yrs : 13 )
svn : 1 (yrs : 9 )
sxc : 1 (yrs : 9 )
syslinux : 1 (yrs : 9 )
tahoe_lafs : 1 (yrs : 10 )
tbp : 1 (yrs : 11 )
thinkup : 1 (yrs : 13 )
tikiwiki : 1 (yrs : 9 )
timvideos : 1 (yrs : 13 )
ubuntu : 1 (yrs : 10 )
umd_mith : 1 (yrs : 13 )
universal_subtitles : 1 (yrs : 11 )
uraeus : 1 (yrs : 9 )
ushahidi : 1 (yrs : 10 )
vtk : 1 (yrs : 11 )
w3c : 1 (yrs : 13 )
winlibre : 1 (yrs : 9 )
wireshark : 1 (yrs : 13 )
xelerance : 1 (yrs : 9 )
xen : 1 (yrs : 10 )
xen_org : 1 (yrs : 11 )
xiph : 1 (yrs : 9 )
yafaray : 1 (yrs : 10 )




Orgs that came for 2 yrs :


admin_minix3 : 2 (yrs : 9 10 )
ankur_india : 2 (yrs : 12 13 )
asf : 2 (yrs : 9 11 )
asterisk : 2 (yrs : 9 10 )
benetech : 2 (yrs : 12 13 )
bloomington : 2 (yrs : 12 13 )
bmi_cci : 2 (yrs : 12 13 )
cernsft : 2 (yrs : 12 13 )
climatecode : 2 (yrs : 11 12 )
cmusphinx : 2 (yrs : 11 12 )
concord : 2 (yrs : 12 13 )
connexions : 2 (yrs : 11 12 )
cscs : 2 (yrs : 9 11 )
dbpediaspotlight : 2 (yrs : 12 13 )
docbook : 2 (yrs : 10 12 )
duraspace : 2 (yrs : 10 11 )
ecologylab : 2 (yrs : 11 12 )
epfl_scala : 2 (yrs : 12 13 )
evergreen : 2 (yrs : 12 13 )
ffmpeg : 2 (yrs : 9 10 )
fossasia : 2 (yrs : 11 12 )
freeseer : 2 (yrs : 11 12 )
gambit : 2 (yrs : 11 12 )
gdcm : 2 (yrs : 11 12 )
geeklog : 2 (yrs : 9 10 )
genmapp : 2 (yrs : 9 10 )
google : 2 (yrs : 9 10 )
gospo : 2 (yrs : 12 13 )
gst : 2 (yrs : 10 11 )
hedgewars : 2 (yrs : 11 12 )
helenos : 2 (yrs : 11 12 )
jato : 2 (yrs : 9 11 )
jboss : 2 (yrs : 12 13 )
jruby : 2 (yrs : 12 13 )
komodo : 2 (yrs : 11 12 )
learningu : 2 (yrs : 11 12 )
limesurvey : 2 (yrs : 10 11 )
linux_foundation : 2 (yrs : 9 11 )
maemo : 2 (yrs : 9 10 )
mapnik : 2 (yrs : 10 11 )
mifos : 2 (yrs : 9 10 )
moinmoin : 2 (yrs : 12 13 )
monkey : 2 (yrs : 12 13 )
n52 : 2 (yrs : 12 13 )
networktime : 2 (yrs : 12 13 )
oar : 2 (yrs : 9 10 )
ogdf : 2 (yrs : 12 13 )
ogre : 2 (yrs : 12 13 )
omii_uk : 2 (yrs : 9 10 )
openafs : 2 (yrs : 9 10 )
opencog : 2 (yrs : 9 12 )
openimageio : 2 (yrs : 10 12 )
openintents : 2 (yrs : 11 12 )
openlighting : 2 (yrs : 12 13 )
orange : 2 (yrs : 11 12 )
owasp : 2 (yrs : 12 13 )
pardus : 2 (yrs : 9 10 )
pcl : 2 (yrs : 11 12 )
phpbb : 2 (yrs : 12 13 )
pulseaudio : 2 (yrs : 12 13 )
puppetlabs : 2 (yrs : 12 13 )
rails : 2 (yrs : 9 13 )
raxa : 2 (yrs : 12 13 )
sage : 2 (yrs : 12 13 )
scala : 2 (yrs : 10 11 )
scribus : 2 (yrs : 11 12 )
scripps_crowdbio : 2 (yrs : 12 13 )
selenium : 2 (yrs : 10 11 )
sharpdevelop : 2 (yrs : 9 10 )
sigmah : 2 (yrs : 12 13 )
simplecv : 2 (yrs : 12 13 )
sipcomm : 2 (yrs : 9 10 )
statusnet : 2 (yrs : 10 11 )
sunlightlabs : 2 (yrs : 10 11 )
swig : 2 (yrs : 9 12 )
thousandparsec : 2 (yrs : 9 10 )
tianocore : 2 (yrs : 11 12 )
tpf : 2 (yrs : 10 11 )
turbogears : 2 (yrs : 9 10 )
twitter : 2 (yrs : 12 13 )
unknown_horizons : 2 (yrs : 11 12 )
wiselib : 2 (yrs : 12 13 )
xapian : 2 (yrs : 11 12 )
xbmc : 2 (yrs : 12 13 )




Orgs that came for 3 yrs :


apache : 3 (yrs : 10 12 13 )
berkman : 3 (yrs : 9 10 12 )
buildbot : 3 (yrs : 11 12 13 )
chromium : 3 (yrs : 9 10 13 )
codeforamerica : 3 (yrs : 11 12 13 )
codehaus : 3 (yrs : 9 10 11 )
coreboot : 3 (yrs : 10 11 13 )
cse_tuwien : 3 (yrs : 11 12 13 )
esug : 3 (yrs : 10 12 13 )
etherboot : 3 (yrs : 9 10 11 )
fedora : 3 (yrs : 11 12 13 )
freifunk : 3 (yrs : 10 11 12 )
genomeinformatics : 3 (yrs : 11 12 13 )
geogebra : 3 (yrs : 10 11 12 )
globus : 3 (yrs : 9 10 11 )
gnu : 3 (yrs : 11 12 13 )
hg : 3 (yrs : 9 10 13 )
hugin : 3 (yrs : 9 10 11 )
idi_idrc : 3 (yrs : 11 12 13 )
illumos : 3 (yrs : 11 12 13 )
incf : 3 (yrs : 11 12 13 )
javapathfinder : 3 (yrs : 11 12 13 )
jikesrvm : 3 (yrs : 10 11 12 )
joomla : 3 (yrs : 9 12 13 )
kernelorg : 3 (yrs : 10 11 12 )
lf : 3 (yrs : 10 12 13 )
libreoffice : 3 (yrs : 11 12 13 )
moin : 3 (yrs : 9 10 11 )
nrnb : 3 (yrs : 11 12 13 )
ntp : 3 (yrs : 9 10 11 )
obf : 3 (yrs : 10 11 12 )
openicc : 3 (yrs : 10 11 12 )
opennms : 3 (yrs : 11 12 13 )
openwall : 3 (yrs : 11 12 13 )
osm : 3 (yrs : 10 11 12 )
parrot : 3 (yrs : 11 12 13 )
phpmyadmin : 3 (yrs : 11 12 13 )
processing : 3 (yrs : 11 12 13 )
qemu : 3 (yrs : 10 11 13 )
rockbox : 3 (yrs : 9 10 11 )
rproject : 3 (yrs : 11 12 13 )
sakai : 3 (yrs : 9 10 11 )
sdl : 3 (yrs : 9 10 11 )
shogun : 3 (yrs : 11 12 13 )
sympy : 3 (yrs : 11 12 13 )
tcltk : 3 (yrs : 9 10 11 )
tor : 3 (yrs : 10 11 13 )
umit : 3 (yrs : 9 11 12 )
videolan : 3 (yrs : 9 10 11 )
wx : 3 (yrs : 9 10 11 )
xmms2 : 3 (yrs : 9 10 11 )
xsf : 3 (yrs : 10 11 12 )




Orgs that came for 4 yrs :


ascend : 4 (yrs : 9 10 11 12 )
bluez : 4 (yrs : 9 10 11 12 )
boost : 4 (yrs : 9 10 11 13 )
brlcad : 4 (yrs : 9 11 12 13 )
cc : 4 (yrs : 9 11 12 13 )
cgal : 4 (yrs : 10 11 12 13 )
dragonflybsd : 4 (yrs : 9 11 12 13 )
drizzle : 4 (yrs : 10 11 12 13 )
drupal : 4 (yrs : 9 10 11 12 )
git : 4 (yrs : 9 10 11 12 )
haiku : 4 (yrs : 9 10 11 12 )
inkscape : 4 (yrs : 10 11 12 13 )
macports : 4 (yrs : 9 10 11 13 )
metabrainz : 4 (yrs : 10 11 12 13 )
mixxx : 4 (yrs : 10 11 12 13 )
moodle : 4 (yrs : 9 11 12 13 )
ns3 : 4 (yrs : 9 10 12 13 )
nuigroup : 4 (yrs : 9 10 11 12 )
opencv : 4 (yrs : 10 11 12 13 )
opensuse : 4 (yrs : 9 11 12 13 )
pidgin : 4 (yrs : 9 10 12 13 )
plan9 : 4 (yrs : 9 10 11 13 )
plone : 4 (yrs : 9 10 11 13 )
portland_state : 4 (yrs : 9 11 12 13 )
